comment,season,user_id,user_name
跟从前一样，喜欢死了。（2022）喜欢死了。（2005）,1,22,P
心头挚爱，不能忘怀，将伴我与我之挚爱终生,1,43,神威
"1集弃（煎熬），生活大爆炸好看太多了
很久以前看过几分钟，因为get不到笑点就没继续看，然后一直没找到机会再捡起来看，今天看了一集，依旧完全get不到笑点，所以不理解为啥说爱情公寓抄袭，爱情公寓我觉得很好看（初中的时候看的），哪怕是抄袭，把笑点都本土化了，也是很大的本事啊，翻拍就容易吗，现在多少翻拍是垃圾",1,83,从小爱看剧
挺搞笑的，台词轻松幽默，比较贴近生活，学英语的看挺好,1,97,宁宁
看见你们，就是好的时光。,1,33,草威
看到爱情公寓大电影上映了，突然想起来自己还欠老友记十个五星。,1,40,Leona
断电那集真的笑抽了~~~~~8.9,1,42,巴喆
永远的经典，但是后面开始儿女情长纠葛不断我就看不下去了，发现我只能看正经幽默的美剧，有感情纠葛的就看不下去。,1,49,暴富的女孩是我
非常好,1,56,囧之女神daisy
这五星打给那第一季被删掉的32分36秒——2022.02.11 国内引进的第一天,1,80,全金屬發條
百看不厌。,1,88,慕詩
他们从友情最终走向了爱情，同时相互之间又维系着类似亲情的东西，好奇妙的六人行~~,1,5,战国客
初中的时候有个人跟我说很好看，但是尝试着看了第一集感觉没意思就弃了，一年前为了好好学英语又试着看了一下第一集，结果还是觉得没意思又弃了，几天前忽然发现一年前下的第一集还在，就又试着看了一下，结果一看就停不下来了，人的成长还真是奇妙啊。,1,19,优杉
好好看，我还有9季可以看，好幸福,1,23,找不到我呀
假期在家补的剧，停不下来，本来以为很难接受国外的情景喜剧，但是老友记的点却很好get。这个世界很现实，很残酷，但你一定会爱上他,1,24,小十三
美剧经典！当初只是老师推荐，为了提升英语听力看的，没想到一下就看进去了，现在还会时不时的找出来翻看。,1,31,偏要勉强
每次看都会很开心.,1,32,林||我们谈什么都像谈死！
重看第一季，还是很有乐趣~,1,76,菠萝
永远的经典....,1,93,阿粲曜日骄阳~
3.5 头几集无聊尴尬到难以忍受（花了我十年的时间才终于撑过去），尽管后面渐入佳境，但时代的局限性依然明显，围绕偷窥和LBGTQ展开的段子令人不适，white washing也很严重。,1,96,凹凸
I'll be there for you,1,2,扭腰客
百看不厌,1,8,犀牛
以前去朋友那里的时候她就在看，还强烈推荐说超级好看，看了几集，还行，没那种超级喜欢的感觉。这久又追着看从头开始看了。有好笑的但是也没有像2B姐妹那样的超级搞笑。可能各人喜好和笑点不一样吧。再接着看下去可能会喜欢吧。,1,39,七十三
一晃那么多年老友记还是能让我捧腹大笑 爱情友情 穿插的各种段子 依然让我无限刷 心情不好就看老友记,1,45,焰熠
它曾经治愈过那个破碎的我，是这个世界上最好喝的热可可,1,52,耳东某
人生第一部美剧，口语进步这部剧的贡献巨大,1,53,TimberNord
美剧经典，当之无愧no.1??当初英语老师力荐，一口气看了10季…羡慕他们的友情与爱情…I'll be there for you,1,61,三井寿司??
【重看补记】吃午饭的时候开始重看，还是觉得以前喜剧的笑点太赞了啊。哭了两次都是因为Phoebe...一次是跟科学家男朋友分手，一次是假装姐姐安慰Joey，她真的太善良了...,1,66,Lycidas
参见千禧年时期都市喜剧鼻祖??不愧是老美的非物质文化遗产，真的很会拍！,1,74,啊么吸溜
非常经典，令人感动的剧呢。,1,75,狼矛
"十年了
结尾的时候一句讽刺的台词“but where?”让我情不自禁的泪流满面",1,77,川总
学校语音视听室必备听力材料啊……&呵呵……基本上是在学校视听室里看完的,1,157,Aubrey
第一部从头看到尾的美剧，很口耐。但是不耐看。n多集我再看第二遍是完全没有让我继续看下去的吸引力，第二次看就觉得笑点有点矫揉造作。不过全剧对于人物性格始终如一的塑造还是非常成功的。,1,159,爱幻想的小孩
人生至爱,1,179,Utopia
看了一个月 佳片。。。无需多语,1,183,火山君
一半一半 得挑着看。,1,195,celestebook
[MSc] 耐心看总会喜欢,1,142,Ivan
本出生的时候好感动。,1,143,Vita Kei。
经典 好看,1,149,穿黄毛衣的猫
蠢萌二逼比不过chandler，善良怪咖比不过Phoebe，挑剔细心比不过monica，geek长情比不过Ross，温柔娇气比不过rachel，义气花心比不过joey。六个人彼此陪伴的感觉多么好XDD,1,169,Lee winchester
经典！！！,1,170,深层次空间
经典，啥都不说了。羡慕那种朋友的状态。,1,191,keenboy
弹指十年。,1,108,你的芝士
"2月25号到4月27号，62天，平均每天4集。终于看完了。这甚至让我觉得凄凉...
不管怎样，真的很棒！",1,125,leon mai
有点open,1,127,Lynn
钱德勒我爱你啊！！！,1,128,松木梯子
第四遍...跟刷红宝是的...这部剧前无古人，后无来者啊！,1,129,半目
那一段青春岁月,1,133,T
看了三遍,1,147,kinopio
這部經典 我有信心在我人生以後的日子會反復再看很多很多次,1,150,EL
太喜欢Phoebe了>.<从人到服装都喜欢！,1,175,柴犬妹妹
其实现在回过头去看。。也并不是那么有趣,1,188,MissXtotheO
无与伦比 ！！！！,1,189,为民救急前列腺
到最后，当时都成旧事,1,192,Mr.Mc
My Heart My Soul,1,119,Sean
不用再去评价了，只想去缅怀老友记带给我的欢笑和感动。,1,132,私房歌
热闹得一塌糊涂,1,135,风月四
love love love,1,139,今年夏天
"朋友到这个份上,一生太值了.",1,152,尼克
看过的最长的也是最值得的电视剧,1,173,2ric
是情景喜剧的翘楚，是无可撼动的经典。用了四集才把他们记全，便再也抹不去美好一路刻下的足迹。六个人物，六种色彩，涂画出友情最绚烂的模样，乏味枯燥的生活都润色成入口即化的甜点，再垂涎的欲望面前都留有属于友情的一方净土，不厌其烦甘愿奉陪接踵而至的一切苦难，捧腹之余是渗入心田的丝丝暖流。为你忧虑为你欢喜，从低谷到山顶也不离不弃，争吵与罅隙都不及爱意的灌溉，阴郁的回忆回想起来都是感动的泪水。好在密友在旁，一生就要一起走，别说再见，我们只说好久不见。,1,184,芝士汉堡.
渐渐理解了里面的幽默,1,203,Double
真的，能把人看喷了。,1,244,Squidward
天然美语教材,1,259,冇有
大学期间看了很多很多遍，然后现在是个小小的英语老师，给学生们放了很多很多集，刚好20分钟，十分钟课间加十分钟奖励他们的时间，都很爱看。台词很容易上手，剧情也很好看~,1,18,海底月是天上月
剧里他们26岁，在26岁才开始看老友记是不是我的幸运！！,1,46,再袭面包店的李
哇哦，刚看的时候觉得普通，现在知道为什么洪七公能被黄蓉几道无比家常的菜收服了……编剧好见功力啊。,1,51,打雷要下雨雷欧
当时一起看老友记的朋友已经不在身边了，值得庆幸的是老友记还一直在，总能逗我开心,1,54,今天也没有猫
当代自由派保守主义教科书，美国中产阶级的理想自恋像，唯一的优点是足够有趣（但也仅限于前两季）。剧中诸多形形色色的人物，也有各种离经叛道的举动，但就是在这些貌似多元的表象之下，隐藏着当代社会的极度同质性：在所有重要问题上，所有人都是高度一致的，性爱从“应该享受”变成了“必须享受”，所有的问题都被简化为生活方式或文化冲突的问题。禁令看似被取消，但其实它依然存在，只是改变了位置；多元文化声称要包容一切，但这种包容只是建立在排除的基础之上；它声称要为边缘群体发声，但它反抗的方式却始终扎根于反抗对象的意义域中。因此，同性恋也好变性人也罢，都必须找到自己的终身伴侣；嬉皮士必须与痴情多金的帅哥喜结良缘（哪怕没有任何理由）；离家出走的富家女必须功成名就：它就是在告诉你，“要做你自己，但只能以系统允许的方式”,1,59,桃吉诃德
为什么我现在才看！还好我现在看了！,1,68,おれはねこです
"NBC《老友记》有老版和重制（个别剧情调整）两个版本，仅拿第一季第一集举例：
时长分别是29:40和22:50，这两个都算官方版本。
这次爱优腾和B站引进的版本时间为21:17，咪咕视频的版本是21:12。
第一集你能想象有什么可删的吗？反正我是想不出来。看见评论区有人说发现加速了，就算有加速，也不可能是时长短的唯一原因，况且“加速”本身就更离谱了。
然后第一集中段瑞秋打电话，身后的地球仪被打码了，就一片印度洋，本来就什么都看不到，打码了反而一堆弹幕在问为什么。
后面有人反映删了lesbian的词语。综上，也不需要再去对比了。",1,69,陆小鸟
我崇拜编剧。MONICA好美，CHARDEL好可爱！,1,9,飞天PP猪
一个高峰,1,20,SH&^U&^N64
我看不下去，笑不出来,1,37,淋
"又看了一遍
真的好喜欢Monica 她的性格有我的影子
好喜欢Rachael 好看又可爱
三个“男生”也都好棒好喜欢",1,90,Lys
2022年才看老友记是我的损失,1,25,GaoJunzzz@
大学英语老师拿来给我们当口语学习视频的??????,1,26,春风不解意
闲来无事就要看老友记。。两天刷完一季，真是太美好了。。,1,48,余小岛
为何旧知己在最后，变不到老友,1,67,豆瓣天后董小姐
"#中国电视剧已经进入高质量发展阶段#哈哈哈哈哈哈哈哈哈哈哈哈哈",1,72,KD6-3.7
经典中的经典了，学英语的推荐教材,1,98,小样儿
暑假把两百多集全看完了：）,1,15,小波福娃
挚爱了！,1,21,Hóng
一直不敢一次性看完，从2006年一直到2010年，足足四年才让我有勇气看到final。倒数第二集，永远会在U2的walk on旋律响起的那一刻潸然泪下。我根本无法想象陪伴了他们十年的美国观众在大结局的那一刻是何感受。十年，人生的七分之一，青春的一大半。这样的友情，这样的友情！！！,1,28,Moss大妖
完全不好看,1,30,??lùlu??
优秀到评分无法体现，好的作品可以穿越国家、穿越时间，带给你欢乐与治愈。,1,57,茶郁无忆
"第二遍，温习的时间跨越了分手前后。Central Park,see ya.",1,63,流空破刃
补剧进行时，专门下的蓝光版的，移动硬盘三分之一都被占了，不过挺值的。相比于现如今喜剧哀鸿遍野的NBC，这剧真心好太多。白富美Rachel；天然呆Phoebe；强迫症Monica；呆萌的Rose；喜剧之王Chandler；还有二兮兮的Joey。C的OMG女友Janice作为配角太抢眼了，每次出场超喜感。客串有乔治克鲁尼好帅！,1,65,炭烧八爪鱼
大学时候用英语看，现在喝的醉醺醺用意大利语看，真的是牛角包、橙汁一样的存在,1,70,thebluepill
永远的friends,1,106,小小小檬子
共24集。,1,131,坩埚钳
说实话，比绝望主妇强多了,1,107,有多远走多远
只看过第一季,1,136,一个劳动人民
用一个月看完了很多人的回忆,1,144,马普尔老姐
"在老挝Vang Vieng这个地方,所有GUEST HOUSE,饭馆,咖啡厅的电视都播FRIENDS的DVD....每天看都疯了",1,155,Haitooong
看了又看又看又看！！,1,181,vampire
漫漫无期坑,1,120,教主饶命
启蒙美剧了 哈哈,1,148,歲月輕狂
唯一经典 经典唯一,1,163,一计落甘
