comment,processed_comment,season
钱德勒在后来怎么可以发福发成那个样子的昂,钱德勒发福发成样子昂,3
"Rachel和Ross一个越来越成熟，一个越来越暴露缺点。（因为个人经历我太太太太太受不了Ross这样的性格了，在我心里相当减分）
这一季让我get到的是傻瓜帅哥Joey。100次捧腹大笑里大概90次是因为他，实在是太可爱了！！！比起油腻，单纯的“蠢”显得惹人爱很多。",RachelRoss越来越成熟越来越暴露缺点.个人经历太太太太受不了Ross性格减分一季傻瓜帅哥Joey.100次捧腹大笑里90次是因为实在可爱.油腻蠢显得惹人爱,3
第三季的时候发现..我看不下去了...虽然看过的人人都说好...英语老师强烈推荐..寝室的人看着笑得前仰后翻..但是真的看不进去了...膜拜10季都反复看了N遍的大神们..我是俗人...只能看到第三季了...,第三季发现看不下去看过说好英语老师强烈推荐寝室看着笑前仰翻真的膜拜10季都反复N遍大神俗人只能第三季,3
chandler的白衬衫好看,chandler白衬衫好看,3
钱钱此时还是帅的! Ross从We were on a break开始一落千丈 原来某件海滩上的事情是下一季开始发生的啊哈哈 季终的海滩也是颇多大事件 Phoebe见到了亲妈 外加R&R复合第一弹!,钱钱帅.RossWeabreak一落千丈某件海滩事情一季发生季终海滩事件Phoebe见到亲妈外加RR复合第一弹,3
看到第三季，各种笑点套路都已经很清楚了，基本可以猜到。。Ross神烦，他在分手后对Rachel的一些举动，就是性骚扰好吗，而且他还是个傲娇控制狂。虽然第一季就设置了Ross的妻子发现自己是lesbian后，把Ross甩了，但这剧的性别观念真的很刻板。,第三季笑点套路猜.Ross神烦分手Rachel举动性骚扰傲娇控制狂.第一季设置Ross妻子发现自己lesbianRoss甩这剧性别观念真的刻板,3
小鸡和鸭子。。哈哈。。,小鸡鸭子,3
friends的fans还真是无处不在啊。。。karina竟然也在看。。。,friendsfans无处不在,3
再次看到2R分手，其实挺真实的，ross真的太不成熟了，不能容忍Rachel的成长，缺乏安全感，做了很多让人难堪的事，反倒是Rachel对他一再容忍，而他也终于犯下了不能饶恕的错误，至少在当时真的不能饶恕。分手时Rachel说的很真实，不是原谅不原谅的问题，而是两人之间有些东西永远改变了。即便后来他们再在一起，也是成熟后经历风雨后的再次相爱，虽然也很好，但却再也回不到第三季分手之前无比纯粹真挚的那种爱情了。,2R分手挺真实ross真的成熟不能容忍Rachel成长缺乏安全感难堪事Rachel一再容忍终于犯下饶恕错误至少真的饶恕.分手时Rachel真实原谅原谅两人东西永远改变.成熟经历风雨相爱再也回不到第三季分手无比真挚那种爱情,3
Chandler也曾经是瘦的~~,Chandler瘦,3
Rachel虽然是傻白甜人设但工作步入正轨立马职场女性了起来，分手闹剧的处理方式也更看出了独立清醒，在理性和情感上的游离太能共鸣了。Monica的感情线至少从过程上来说都挺好，成熟有魅力的Richard（可惜人生方向不对）和体贴的百万富翁男友（不理解求胜心）。,Rachel傻白甜人设工作步入正轨职场女性分手闹剧方式独立清醒理性情感游离太能共鸣.Monica感情线至少过程挺成熟魅力Richard可惜人生方向体贴百万富翁男友理解求胜心,3
喜欢Chandler，他能把幽默当做PTSD的症状之一，不厚道地觉得这个属性有点萌。,喜欢Chandler幽默当做PTSD症状厚道属性萌,3
其实真没必要那么认真讨论爱不爱的，就是一群有血有肉的人，挺好玩的剧情。racheal这条线挺清晰的，从中产家庭女儿逃婚，到心不在焉的服务生，到时尚届的OL，都很清晰很有意义，挺有启发的--看到后面发现有启发这句大可不必哈哈哈,真讨论爱不爱一群有血有肉挺好玩剧情.racheal这条线挺清晰中产家庭女儿逃婚心不在焉服务生时尚届OL清晰意义挺启发发现启发这句大可不必哈哈哈,3
不知道累的要死的今天看完第三季的执念来自何处,累要死完第三季执念,3
Rachel的变化比较让人意外，不过剧集还是那么有趣。,Rachel变化意外剧集有趣,3
2014.8.22 看完这季。钱德勒的胡子一会儿留一会儿剃，有些奇怪。,2014.822完这季.钱德勒胡子一会儿留一会儿剃奇怪,3
一如既往的好笑。因为知乎上一个问答的关系开始关注chandler的幽默，好像确实有些与众不同。这一季发现个老熟人：钢铁侠的保镖（以及导演）乔恩·费儒演了大半季的monica的富翁男友。。。另外比利·克里斯托也在倒数第二集出来露了下脸~,一如既往好笑.知乎问答关系关注chandler幽默好像确实与众不同.一季发现熟人钢铁侠保镖导演乔恩费儒演大半季monica富翁男友.比利克里斯托倒数第二集露脸,3
Rachel啊 原谅Ross好不好,Rachel原谅Ross好不好,3
so the point is sharing? 】Chandler怎么瘦成这样了是显示屏出问题了吗。。。。】Monica每季都会有真爱的节奏吗。。。】记得看第二季的时候半夜捂着被子偷笑,pointsharing.Chandler瘦成显示屏.Monica每季真爱节奏.记得第二季半夜捂着被子偷笑,3
Ross略有点神经质如Monica，但是这绝对会是first choice,Ross神经质Monicachoice,3
钱德勒···乔伊···莫妮卡··菲比··都不错··,钱德勒乔伊莫妮卡菲比不错,3
爱情公寓好多桥段的起源.,爱情公寓好多桥段起源,3
相当不喜欢罗斯。喜欢钱德勒和菲比。,喜欢罗斯.喜欢钱德勒菲比,3
高一的那个暑假，几乎是不分白天黑夜地看，最多的时候一天能看完将近一季。,高一暑假不分白天黑夜地看完一季,3
这季Rachel成熟了不少啊，Ross真的很过分呀，Chandler这季真的很瘦呀，发型也好~~帅了好多好多呀~~~,这季Rachel成熟Ross真的过分Chandler这季真的很瘦发型帅好多好多,3
看完第三季 开始觉得 老友记赢了TBBT了,完第三季老友记赢TBBT,3
"我不喜欢这一季
罗斯太让我失望了，他怎么敢为自己辩白的",喜欢一季罗斯失望辩白,3
这一季埋下了很多伏笔，比如Ross本来打算给女儿起名Emily，是后来妻子的名字；Ben的“Monica Bing”也是神预言。Ross和Rachel从此过上了分手和好，再分手再和好，分手后和别人结婚离婚，结婚离婚，生孩子再和好的幸福生活。也真是羡慕他们，分手后一转身还能遇到合适的人，和我的枯燥生活比起来简直有云泥之别。,一季埋下伏笔Ross本来打算女儿起名Emily妻子名字.BenMonicaBing神预言.RossRachel过上分手分手分手结婚离婚结婚离婚生孩子幸福生活.羡慕分手转身合适枯燥生活云泥之别,3
蛮多感想。,蛮多感想,3
这绝对是治愈系，不仅仅是喜剧。接着看第四季~,治愈系喜剧,3
各种欢乐！！希望后面水平不会下降,希望水平下降,3
